Date,City,Crime Type ID,Longitude,Resolved
2021-09-01,United Kingdom,1,,0
2023-08-02,France,9,,0
2022-04-10,Germany,12,,0
2023-09-21,Italy,11,,1
2022-04-02,Spain,12,,1
2022-09-19,Netherlands,11,,0
2023-09-15,Belgium,4,,1
2023-07-21,Switzerland,12,,1
2022-09-11,Sweden,2,,0
2023-10-19,Norway,1,,0
2022-07-12,Denmark,12,,1
2023-07-15,Finland,8,,1
2022-07-16,Austria,12,,1
2022-03-13,United Kingdom,1,,1
2022-12-29,France,12,,1
2022-07-28,Germany,12,,1
2023-05-04,Italy,9,,0
2023-06-03,Spain,11,,0
2021-10-25,Netherlands,12,,0
2021-10-13,Belgium,12,,1
2023-05-13,Switzerland,12,,1
2022-06-01,Sweden,3,,1
2022-04-23,Norway,12,,0
2023-06-08,Denmark,12,,1
2022-07-19,Finland,3,,1
2023-04-27,Austria,1,,1
2022-06-04,United Kingdom,5,,0
2021-10-27,France,12,,1
2023-04-01,Germany,1,,1
2022-01-26,Denmark,12,,0
2023-06-15,Finland,12,,1
2023-07-08,Austria,3,,1
2022-09-19,United Kingdom,1,,1
2022-12-04,France,1,,1
2022-07-04,Germany,6,,1
2022-07-14,Denmark,12,,1
2023-01-20,Finland,1,,1
2021-12-28,Austria,12,,1
2023-09-08,United Kingdom,11,,1
2022-11-24,France,1,,0
2022-05-10,Germany,1,,1
2022-01-28,France,12,,1
2022-01-04,Germany,9,,1
2022-05-12,Denmark,3,,1
2023-05-26,France,7,,1
2021-10-05,Germany,12,,0
2021-09-27,Denmark,5,,0
2023-05-30,United Kingdom,1,,1
2022-10-03,France,7,,1
2022-06-24,United Kingdom,12,,0
2021-10-09,France,12,,1
2022-02-13,Finland,12,,0
2023-05-06,Austria,12,,1
2021-12-29,United Kingdom,3,,1
2023-01-04,United Kingdom,12,,1
2022-10-31,France,12,,1
2022-12-07,Germany,12,,1
2021-12-29,Italy,8,,1
2022-09-23,Spain,11,,0
2022-01-26,Netherlands,11,,1
2022-06-15,Belgium,12,,1
2022-05-14,Switzerland,12,,1
2022-02-18,Sweden,11,,1
2022-03-22,Norway,1,,1
2022-11-07,Denmark,1,,1
2023-01-17,Finland,12,,1
2023-07-12,Austria,4,,1
2023-05-19,United Kingdom,5,,0
2023-09-27,France,12,,1
2022-11-09,Germany,12,,1
2022-07-17,Italy,7,,1
2022-11-20,Spain,1,,1
2022-10-16,Netherlands,11,,1
2023-03-14,Belgium,6,,0
2023-04-07,Switzerland,10,,1
2023-08-16,Sweden,4,,0
2022-12-16,Norway,1,,1
2023-01-20,Denmark,4,,1
2022-08-04,Finland,9,,1
2022-01-04,Austria,7,,1
2022-07-07,United Kingdom,5,,1
2021-11-18,France,1,,1
2023-03-15,Germany,7,,0
2022-12-14,Denmark,1,,1
2022-11-13,Finland,12,,0
2021-10-30,Austria,11,,0
2021-11-10,United Kingdom,9,,0
2023-03-01,France,4,,1
2022-04-04,Germany,10,,1
2022-05-28,Denmark,12,,1
2021-12-24,Finland,12,,1
2023-09-25,Austria,12,,1
2022-02-11,United Kingdom,12,,0
2021-12-12,France,1,,1
2022-06-07,Germany,2,,1
2022-03-03,France,12,,0
2022-09-08,Germany,12,,1
2023-04-18,Denmark,12,,1
2022-05-17,France,11,,1
2022-04-03,Germany,5,,1
2023-07-11,Denmark,11,,0
2022-05-30,United Kingdom,12,,1
2021-10-07,France,1,,1
2021-10-01,United Kingdom,9,,1
2021-09-20,France,10,,0
2023-08-07,Finland,1,,1
2021-09-26,Austria,7,,1
2022-04-12,United Kingdom,12,,0
2023-04-20,United Kingdom,3,,1
2021-11-19,France,1,,1
2022-10-17,Germany,7,,1
2021-10-01,Italy,7,,1
2022-10-19,Spain,12,,1
2021-11-15,Netherlands,12,,1
2022-01-14,Belgium,12,,1
2023-06-18,Switzerland,12,,1
2023-06-22,Sweden,7,,0
2023-05-26,Norway,12,,1
2023-04-27,Denmark,1,,1
2023-08-06,Finland,5,,1
2023-08-05,Austria,12,,1
2022-06-01,United Kingdom,3,,1
2021-12-21,France,12,,1
2023-10-02,Germany,12,,1
2022-10-07,Italy,1,,1
2023-02-14,Spain,1,,1
2022-11-03,Netherlands,1,,1
2021-10-03,Belgium,1,,1
2022-06-20,Switzerland,9,,1
2023-07-22,Sweden,3,,1
2023-03-01,Norway,1,,1
2023-06-21,Denmark,12,,0
2023-05-06,Finland,12,,1
2023-09-26,Austria,11,,1
2021-11-25,United Kingdom,1,,1
2023-08-02,France,9,,1
2022-11-10,Germany,12,,0
2023-07-27,Denmark,1,,0
2022-05-21,Finland,12,,0
2022-10-05,Austria,12,,1
2022-04-20,United Kingdom,12,,1
2021-09-13,France,12,,1
2021-12-04,Germany,12,,1
2023-10-14,Denmark,1,,0
2022-02-06,Finland,12,,1
2022-05-09,Austria,1,,1
2023-07-01,United Kingdom,12,,1
2023-08-07,France,1,,0
2022-03-11,Germany,1,,1
2021-09-16,France,8,,1
2022-10-07,Germany,4,,1
